"","Role1","State","SoyH17","SoyH18","SoyH19","XtR17","XtR18","XtR19","PRE17","PRE18","PRE19","POST17","POST18","POST19"
"133","Decision influencer","Wisconsin",2834,2024,2429,0,0,1.6467682173734,0,0,1.6467682173734,0,0,0
"134","Farmer","Wisconsin",6,9,9,0,100,100,0,0,55.5555555555556,0,0,0
"135","Decision influencer","Wisconsin",8,10,10,100,100,100,50,50,50,50,50,48.58299595
"136","Farmer","Wisconsin",81,172,142,0,70.3488372093023,100,0,18.6046511627907,100,0,0,99.7890175352113
"137","Farmer","Wisconsin",162,162,162,0,50,100,0,0,24.6913580246914,0,0,0
"138","Farmer","Wisconsin",202,215,182,0,11.1627906976744,0,0,0,0,0,0,0
"139","Farmer","Wisconsin",24,20,28,0,100,114.285714285714,0,60,114.285714285714,0,60,115.673799892857
"140","Farmer","Wisconsin",32,36,32,100,100,100,21.875,0,0,75,77.7777777777778,98.68421053125
"141","Farmer","Wisconsin",162,162,162,0,100,100,0,19.7530864197531,100,0,37.6543209876543,99.9650122222222
"142","Decision influencer","Wisconsin",2429,2429,2429,0,33.3470564018114,66.6529435981886,0,0,0,0,0,50.0030835323178
"143","Decision influencer","Wisconsin",6073,7287,6478,3.32619792524288,13.887745299849,62.5038592158073,0,1.38602991628928,3.11824637233714,0,2.77205983257856,31.2487109910466
"144","Decision influencer","Wisconsin",1012,1619,1619,0,0.494132180358246,37.4922791846819,0,0,10.0061766522545,0,0,25.006689289685
"145","Farmer","Wisconsin",405,405,405,40,69.8765432098765,100,0,0,100,0,9.87654320987654,19.9930024493827
"146","Decision influencer","Wisconsin",2429,2834,3239,0,21.4184897671136,100,0,0,0,0,0,24.9989687928373
"147","Decision influencer","Wisconsin",1822,2024,2024,0,0,0,0,0,0,0,0,0
"148","Decision influencer","Wisconsin",6073,6073,6073,1.66309896262144,20.006586530545,53.3344310884242,0,0,3.32619792524288,1.66309896262144,13.3377243536967,33.3326444590812
"149","Decision influencer","Wisconsin",4656,4858,4453,8.69845360824742,25.0102923013586,68.1787558949023,0,0,0,8.69845360824742,25.0102923013586,68.1885750505277
"150","Decision influencer","Wisconsin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Farmer","Wisconsin",49,49,49,32.6530612244898,32.6530612244898,32.6530612244898,32.6530612244898,32.6530612244898,32.6530612244898,32.6530612244898,32.6530612244898,33.0496571020408
"152","Decision influencer","Nebraska",161.9,404.7,607,0,14.9987645169261,46.67215815486,0,0,46.67215815486,0,0,0
"153","Farmer","Nebraska",404.7,728.5,566.6,0,83.3218943033631,100,0,27.7693891557996,50,0,83.3218943033631,100
"154","Farmer","Nebraska",202.3,0,202.3,0,NA,NA,0,NA,NA,0,NA,NA
"155","Decision influencer","Nebraska",404.7,404.7,404.7,80.0098838645911,80.0098838645911,80.0098838645911,80.0098838645911,80.0098838645911,80.0098838645911,80.0098838645911,80.0098838645911,80.0098838645911
"156","Farmer","Nebraska",121.4,121.4,121.4,100,100,100,0,0,0,0,0,0
"157","Decision influencer","Nebraska",6070.4,7284.5,8093.9,100,88.8887363580205,100,53.3342119135477,50.000686388908,100,53.3342119135477,50.000686388908,49.9993822508309
"158","Decision influencer","Nebraska",1214.1,1214.1,1618.8,83.3292150564204,100,100,66.6666666666667,100,100,66.6666666666667,100,100
"159","Farmer","Nebraska",54.6,72.8,54.6,0,0,0,0,0,0,0,0,0
"160","Decision influencer","Nebraska",6070.4,4856.3,4046.9,33.3338824459673,100,100,16.6661175540327,100,100,33.3338824459673,100,100
"161","Farmer","Nebraska",526.1,728.5,607,3.07926249762403,38.8881262868909,100,0,0,0,3.07926249762403,38.8881262868909,100
"162","Farmer","Nebraska",404.7,485.6,526.1,6.00444773906598,100,100,0,NA,NA,0,100,100
"163","Farmer","Nebraska",323.8,344,344,0,100,100,0,29.4186046511628,100,0,47.0639534883721,100
"164","Farmer","Nebraska",283.3,303.5,242.8,100,100,100,0,0,0,100,100,100
"165","Farmer","Nebraska",505.9,505.9,505.9,100,100,NA,0,0,NA,0,0,NA
"166","Farmer","Nebraska",404.7,445.2,404.7,19.9901161354089,89.9820305480683,100,0,0,49.9876451692612,0,0,49.9876451692612
"167","Farmer","Nebraska",121.4,161.9,202.3,0,0,0,0,0,0,0,0,0
"168","Farmer","Nebraska",80.9,80.9,80.9,NA,NA,0,NA,NA,0,NA,NA,0
"169","Farmer","Nebraska",283.3,303.5,NA,100,100,NA,100,0,NA,100,0,NA
"170","Farmer","Nebraska",202.3,161.9,202.3,0,0,0,0,0,0,0,0,0
"171","Decision influencer","Nebraska",161.9,161.9,161.9,25.0154416306362,74.9845583693638,100,0,0,NA,0,0,NA
"172","Farmer","Nebraska",202.3,202.3,202.3,0,69.9950568462679,100,0,0,100,0,0,100
"173","Farmer","Nebraska",404.7,404.7,404.7,0,0,49.9876451692612,0,0,0,0,0,0
"174","Decision influencer","Nebraska",52.6,20.2,80.9,1.52091254752852,100,100,0,0,100,0,100,100
"175","Decision influencer","Nebraska",8093.9,8093.9,8093.9,10.0001235498338,10.0001235498338,10.0001235498338,0,5.00006177491691,25.0003088745846,10.0001235498338,0,0
"176","Farmer","Nebraska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Farmer","Nebraska",141.6,141.6,141.6,27.1186440677966,28.6016949152542,0,0,0,14.2655367231638,0,18.5734463276836,22.8813559322034
